id;available;url;price;currencyId;category;picture;name;description
59;true;http://bestbestbest.ru/shop/UID_59.html?from=yml;4990;RUR;SHTURMANN;http://bestbestbest.ru/UserFiles/Image/img59_14747s.jpg;SHTURMANN Link 300;"SHTURMANN Link 300Широкоформатный дисплей 4,3”.Информация о&amp;nbsp;пробках.GPRS-интернет. ICQ-клиент. E-mail.Предупреждения о камерах измерения скорости.Карты&amp;nbsp;СитиГид-МТС, SHTURMANN.Просмотр схем перекрестков.&amp;nbsp;Просмотр&amp;nbsp;JPEG, часы, калькулятор.Встроенная память 2Gb."
60;true;http://bestbestbest.ru/shop/UID_60.html?from=yml;5990;RUR;SHTURMANN;http://bestbestbest.ru/UserFiles/Image/img60_16765s.jpg;SHTURMANN Play 500;"SHTURMANN Play 500 Широкоформатный дисплей 5”.HD, разрешение 800х480. FM-трансмиттер.Bluetooth® для звонков hands-free,GPRS-интернет.Предзагруженные карты&amp;nbsp;России.Просмотр схем перекрестков."
99;true;http://bestbestbest.ru/shop/UID_99.html?from=yml;7470;RUR;ПЕШЕХОДНЫЕ НАВИГАТОРЫ;http://bestbestbest.ru/UserFiles/Image/img99_41617s.jpg;GARMIN E-Trex  Venture HC;Навигатор eTrex Venture HC включает в себя все необходимое: высокочувствительный GPS-приемник, 24 МВ внутренней памяти, подробную базовую карту и яркий цветной экран.
100;true;http://bestbestbest.ru/shop/UID_100.html?from=yml;4600;RUR;ПЕШЕХОДНЫЕ НАВИГАТОРЫ;http://bestbestbest.ru/UserFiles/Image/img100_23097s.jpg;GARMIN E-Trex H, Russian;Бюджетная модель eTrex H включает в себя высокочувствительный GPS-приемник, обеспечивающий быстрый поиск спутниковых сигналов и высокую точность расчета местоположения даже в сложных условиях.
